gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,176.020618,1093,1548288,16,0

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.300510,14,0.323150,-nan,-nan,0.384854,-nan,-nan
0.284641,13,0.320437,-nan,-nan,0.364359,-nan,-nan
0.295704,15,0.320114,-nan,-nan,0.374915,-nan,-nan
0.300683,14,0.320216,-nan,-nan,0.382400,-nan,-nan
0.288851,15,0.319467,-nan,-nan,0.367538,-nan,-nan
0.289610,15,0.321716,-nan,-nan,0.368722,-nan,-nan
0.298569,16,0.321695,-nan,-nan,0.377598,-nan,-nan
0.301151,16,0.322234,-nan,-nan,0.379371,-nan,-nan
0.282464,15,0.323852,-nan,-nan,0.362534,-nan,-nan
0.294592,15,0.321681,-nan,-nan,0.373749,-nan,-nan
0.285943,15,0.324517,-nan,-nan,0.366118,-nan,-nan
0.288474,15,0.323033,-nan,-nan,0.368937,-nan,-nan
0.293484,15,0.322605,-nan,-nan,0.380895,-nan,-nan
0.288342,13,0.319346,-nan,-nan,0.368918,-nan,-nan
0.298437,13,0.319260,-nan,-nan,0.376808,-nan,-nan
0.306700,11,0.322349,-nan,-nan,0.389739,-nan,-nan
0.304032,14,0.322333,-nan,-nan,0.382268,-nan,-nan
0.294608,14,0.318519,-nan,-nan,0.372035,-nan,-nan
0.302978,14,0.320598,-nan,-nan,0.380193,-nan,-nan
0.298512,15,0.321671,-nan,-nan,0.376892,-nan,-nan
