gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,169.073348,1280,2211840,5,0

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.403385,14,0.377726,-nan,-nan,0.438397,-nan,-nan
0.390936,13,0.379184,-nan,-nan,0.427565,-nan,-nan
0.397906,14,0.377211,-nan,-nan,0.432398,-nan,-nan
0.395162,14,0.378686,-nan,-nan,0.431470,-nan,-nan
0.397041,13,0.377744,-nan,-nan,0.434739,-nan,-nan
0.394573,14,0.378853,-nan,-nan,0.429045,-nan,-nan
0.393086,14,0.377250,-nan,-nan,0.427577,-nan,-nan
0.393095,14,0.377836,-nan,-nan,0.427579,-nan,-nan
0.388000,14,0.380169,-nan,-nan,0.422496,-nan,-nan
0.400283,14,0.378792,-nan,-nan,0.434765,-nan,-nan
0.391856,14,0.378809,-nan,-nan,0.426329,-nan,-nan
0.403971,14,0.381376,-nan,-nan,0.439160,-nan,-nan
0.391388,13,0.378110,-nan,-nan,0.427660,-nan,-nan
0.387629,14,0.376233,-nan,-nan,0.423923,-nan,-nan
0.400584,14,0.377005,-nan,-nan,0.439017,-nan,-nan
0.398966,14,0.377744,-nan,-nan,0.433473,-nan,-nan
0.412053,15,0.378394,-nan,-nan,0.446555,-nan,-nan
0.402961,13,0.378627,-nan,-nan,0.437877,-nan,-nan
0.396355,14,0.377973,-nan,-nan,0.430884,-nan,-nan
0.391490,14,0.376673,-nan,-nan,0.426009,-nan,-nan
